@id;name;@lat;@lon;addr:city;addr:postcode;addr:street;addr:housenumber;amenity;cuisine;indoor_seating;outdoor_seating;opening_hours;website;wheelchair;Column1;_1;_2;_3;_4;_5
359701183;Äusserer Lindhof;475077581;87253968;Winterthur;8400;Blatterstrasse;1;restaurant;regional;;;"Mo 06:00-13:30; Tu-Fr 06:00-13:30, 16:00-22:00; Sa 08:00-14:00";;;;;;;;
369825427;Salitre;474961895;86986067;;;;;restaurant;;;;;;;;;;;;
380488748;Punto e Pasta;474991725;87313796;;;;;restaurant;italian;;;Oct 1-Apr 30 Mo-Su 11:00-23:30; May 1-Sep 30 Mo-Su 11:00-24:00;https://punto-et-pasta.ch/;yes;;;;;
382989332;Barnabas;474966260;87274275;Winterthur;8400;Büelrainstrasse;1;restaurant;asian;;yes;Tu-Sa 18:00-23:00;https://barnabaswinti.ch/;no;;;;;;
387228479;Billabong Sport's & Music Bar;474843234;87025990;Winterthur;8406;Zürcherstrasse;260;bar;australian;yes;yes;06:00-00:00; Sa 14:00-00:00; Su off;http://www.billabong-pub.ch/;;;;;
387450211;Das schmale Handtuch;474972516;87275212;;;;;pub;;;yes;Tu-Th 16:00-24:00, Fr 16:00-02:00, Sa 18:00-02:00;http://www.dasschmalehandtuch.ch/;limited;;;;;;
412728346;Blumenau;475073010;87108669;;;;;restaurant;regional;;;;;;;;;;;
412729253;Haku;474984069;87381431;;;;;restaurant;japanese;;;Tu-Sa 11:00-14:00,17:30-22:00;https://www.haku-restaurant.ch/home;limited;;;;;;
412760190;Oliveira;474912979;87075577;Winterthur;8406;Stationsstrasse;3;restaurant;portuguese;;;Tu-Fr 10:30-22:00; Sa 10:00-22:00; Su 10:00-20:00;;no;;;;
441314886;Freieck;474803434;87639702;;;;;restaurant;;;;Su-Tu 10:00-23:30, Fr,Sa 10:00-00:30;;;;;;;;
471627998;Baby;474981269;87232638;Winterthur;8400;Untere Vogelsangstrasse;7;pub;;;;;;;;;;;;
471627999;Archbar;474985743;87234927;Winterthur;8400;Archstrasse;2;pub;;;;Mo-Fr 16:30+; Sa 19:00+;;;;;;;
471628000;Molino;474994389;87277569;Winterthur;8400;Marktgasse;45;restaurant;pizza;;;Mo-Su 10:00-23:00;https://molino.ch/de/pizzeria-ristorante-molino-winterthur;limited;;;;;;
472383224;1st Choice;475107345;86944731;;;;;bar;;;;;;;;;;;;
472774192;Zermatt Kebap Haus;474978528;87285770;Winterthur;8400;Technikumstrasse;42;fast_food;kebab;;;;;no;;;;;;
498891528;San Remo;475071480;87257511;Winterthur;8400;Brunngasse;35;restaurant;italian;;yes;"Mo-Fr 11:00-14:00,17:30-22:30; Sa 17:30-22:30; PH off";;;;;;;;
534876365;Buon Gusto;475050499;87184541;;;;;restaurant;;;yes;"Mo-Fr 11:00-14:00, Mo-Fr 17:00-22:00+; Sa 18:00-22:00+";;;;;;;;
534878149;nachbarsbox;475048564;87189785;Winterthur;8400;Wülflingerstrasse;28;restaurant;grill;salad;bread;;yes;"Mo, Tu, Th 07:00-18:00; We, Fr 07:00-24:00; Sa, Su, PH off";https://www.facebook.com/nachbarsbox/;;;;;
534917835;Bistro Alte Kaserne;474979559;87313352;Winterthur;8403;Technikumstrasse;8;restaurant;;;;Mo-Fr 09:00-22:30; Sa 15:00-22:30;https://altekaserne.ch/bistro/;;;;;;
548913444;Schwimmbad Wülflingen;475120340;86848455;;;;;restaurant;;;;;;;;;;;;
548915072;Weinberg;475163992;86795583;;;;;restaurant;;;;;;;;;;;;
548920489;La Bodega Carlo;475026529;87198587;;;;;restaurant;spanish;;;"Tu-Fr 08:30-14:00,17:00-23:00; Sa 09:30-14:00,17:00-23:00";;limited;;;;;;
548920518;Osteria del fiore;475012974;87212681;;;;;restaurant;italian;;;"Mo-Fr 11:30-14:00,18:00-23:00; Sa 16:00-24:00; Su 16:00-22:00";https://www.osteriadelfiore.ch/;;;;;;;
548920700;Fu Ji;474989065;87212551;;8400;Strickerstrasse;3;restaurant;asian;yes;yes;Mo-Su 11:00-22:00;https://fujirestaurant.ch/;yes;;;;;;
556746551;Pizzeria Schwanen;474941104;87145030;;;;;restaurant;pizza;pasta;yes;yes;"Mo-Fr 08:30-14:00,17:00-24:00; Sa 17:00-23:00";;no;;;;;
560156308;Maharaja Curry;475011461;87211262;Winterthur;8400;Wartstrasse;23;restaurant;indian;;no;"Mo-Fr 11:30-14:00,18:00-23:00; Sa 18:00-23:00";https://www.maharaja-curry.ch;no;;;;;;
560157037;Tibet Bistro;475017718;87209446;;;;;restaurant;tibetan;;;"Tu 17:30-21:30; We-Su 11:30-14:00, 17:30-21:30";;;;;;;;
561504426;Food Corner Swiss;474990805;87234884;;;;;fast_food;kebab;no;pedestrian_zone;Su-Th 11:00-02:00; Fr-Sa 11:00-06:00;https://www.foodcorner-swiss.ch/;yes;;;;;
561504452;La Torre;474978808;87235621;;;;;restaurant;;;;;;;;;;;;
561524250;Winti-Kanne;474981673;87291301;Winterthur;8400;Steinberggasse;25;restaurant;regional;mediterranean;;;"Tu-Fr 11:30-14:00,18:00+; Sa 18:00+; Mo,Su open ""Auf Anfrage""; PH closed";https://www.wintikanne.ch/;;;;;;
564669032;Sargin Kebap Haus;474912971;87067075;;;;;fast_food;kebab;;;"Tu-Fr 10:00-21:00; Sa,Su 11:00-21:00";;no;;;;;;
564669037;Poly;474914174;87061859;;;;;fast_food;kebab;;;;;;;;;;;
564670033;Kuhn;474993780;87219049;;;;;cafe;;yes;yes;Mo-Fr 06:30-20:00; Sa 07:00-18:00; May-Oct Su 08:00-14:00; Nov-Apr Su 08:00-17:00;;limited;;;
564670042;Boulevard;474995031;87244639;Winterthur;8400;Stadthausstrasse;143;restaurant;burger;;;Mo-Th 05:45-00:30, Fr 05:45-02:30, Sa 09:00-02:30, Su 10:30-00:30;;no;;;;;;
564670052;Gilgamesh Bar und Lounge;474996240;87253230;Winterthur;8400;Stadthausstrasse;135;pub;;;;Mo-Th 12:00-02:00, Fr,Sa 12:00-05:00, Su 13:00-02:00;;;;;;;;
564888514;Brauhaus;474986288;87261468;Winterthur;8400;Neumarkt;7;restaurant;;;yes;"We,Th 11:00-23:30; Fr 16:00-23:30; Sa 14:00-23:30; Su 10:00-15:00";https://www.brauhaus.ch/gastro-winterthur;limited;;;;;;
564888543;Restaurant Alterszentrum Neumarkt;474986144;87267513;Winterthur;8400;Neumarkt;6;restaurant;regional;;;Mo-Fr 07:30-17:00;;yes;;;;;;
574671585;Labüsch Bar;474950888;87178027;;;;;pub;;yes;yes;;https://labuesch.com/de/bar_galerie;;;;;;;
574685031;Manta Bar;474983110;87172632;Winterthur;8400;Neuwiesenstrasse;1;fast_food;;yes;yes;Mo-Fr 09:00-15:00;;limited;;;;;;
